Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
3_0;Insertion Sort;500;0.294000;0.293000;0;124750
3_0;Selection Sort;500;0.238000;0.238000;250;124750
3_0;Merge Sort;500;0.030000;0.030000;0;2216
3_0;Quick Sort;500;0.360000;0.359000;62500;124750
3_0;Shell Sort;500;0.020000;0.019000;2100;5116
4_41;Insertion Sort;500;0.094200;0.093600;0;39246
4_41;Selection Sort;500;0.233200;0.232800;202;124750
4_41;Merge Sort;500;0.038200;0.038000;0;3809
4_41;Quick Sort;500;0.025600;0.025600;2492;5568
4_41;Shell Sort;500;0.041400;0.041200;2784;6125
1_0;Insertion Sort;600;0.216400;0.215800;0;91783
1_0;Selection Sort;600;0.367000;0.367000;597;179700
1_0;Merge Sort;600;0.052000;0.051600;0;4796
1_0;Quick Sort;600;0.032800;0.032600;2946;5645
1_0;Shell Sort;600;0.059600;0.059200;4093;8569
2_0;Insertion Sort;600;0.004000;0.002000;0;599
2_0;Selection Sort;600;0.356000;0.355000;0;179700
2_0;Merge Sort;600;0.043000;0.043000;0;2916
2_0;Quick Sort;600;0.750000;0.749000;179700;179700
2_0;Shell Sort;600;0.011000;0.011000;0;4804
3_0;Insertion Sort;600;0.418000;0.415000;0;179700
3_0;Selection Sort;600;0.344000;0.344000;300;179700
3_0;Merge Sort;600;0.037000;0.036000;0;2660
3_0;Quick Sort;600;0.522000;0.522000;90000;179700
3_0;Shell Sort;600;0.024000;0.023000;2300;6512
4_89;Insertion Sort;600;0.190200;0.189600;0;77316
4_89;Selection Sort;600;0.352000;0.348400;463;179700
4_89;Merge Sort;600;0.053600;0.053200;0;4785
4_89;Quick Sort;600;0.036000;0.036000;3734;6012
4_89;Shell Sort;600;0.058000;0.058000;3819;8367
1_0;Insertion Sort;700;0.300000;0.299600;0;123366
1_0;Selection Sort;700;0.474000;0.472200;694;244650
1_0;Merge Sort;700;0.064600;0.064400;0;5747
1_0;Quick Sort;700;0.045200;0.044800;3921;6570
1_0;Shell Sort;700;0.066200;0.066200;4498;9727
2_0;Insertion Sort;700;0.006000;0.003000;0;699
2_0;Selection Sort;700;0.503000;0.503000;0;244650
2_0;Merge Sort;700;0.054000;0.054000;0;3504
2_0;Quick Sort;700;0.988000;0.989000;244650;244650
